subject,idna_subject,expiration_date,epoch
000-hidro-1.info,000-hidro-1.info,01-jun-2021,1622505600.0
000mobility99440.com,000mobility99440.com,06-may-2021,1620259200.0
00658985228255.info,00658985228255.info,05-jun-2021,1622851200.0
008753331120.com,008753331120.com,05-may-2021,1620172800.0
00fun.com,00fun.com,05-aug-2021,1628121600.0
01388.net,01388.net,11-apr-2021,1618099200.0
015391bdhx62.xyz,015391bdhx62.xyz,24-jan-2021,1611446400.0
01982019.com,01982019.com,18-apr-2021,1618704000.0
01accesd-support.com,01accesd-support.com,26-apr-2021,1619395200.0
01gouv-1billd.com,01gouv-1billd.com,07-may-2021,1620345600.0
023hysj.com,023hysj.com,24-mar-2021,1616544000.0
029999.com,029999.com,26-aug-2021,1629936000.0
02dinero.com,02dinero.com,24-apr-2021,1619222400.0
0351dvd.cn,0351dvd.cn,01-mar-2021,1614556800.0
0483bm4mlow8.xyz,0483bm4mlow8.xyz,27-jan-2021,1611705600.0
0538ly.cn,0538ly.cn,31-mar-2021,1617148800.0
05tz2e9.com,05tz2e9.com,07-feb-2021,1612656000.0
063501.com,063501.com,13-may-2021,1620864000.0
07799d.com,07799d.com,09-mar-2021,1615248000.0
087betcup.com,087betcup.com,06-may-2021,1620259200.0
087celtabet.com,087celtabet.com,06-may-2021,1620259200.0
08819.com,08819.com,03-feb-2021,1612310400.0
088betcup.com,088betcup.com,11-may-2021,1620691200.0
088celtabet.com,088celtabet.com,11-may-2021,1620691200.0
08group.tv,08group.tv,25-mar-2022,1648166400.0
0af51c7ae60e29da0418dda2b47ef98e45d03479.info,0af51c7ae60e29da0418dda2b47ef98e45d03479.info,17-mar-2021,1615939200.0
0ath-payment.com,0ath-payment.com,05-jun-2021,1622851200.0
0byv9mgbn0.com,0byv9mgbn0.com,25-apr-2021,1619308800.0
0corona.com,0corona.com,23-mar-2021,1616457600.0
0coronavirus.com,0coronavirus.com,25-mar-2021,1616630400.0
0cra-cerbrelief.info,0cra-cerbrelief.info,29-may-2021,1622246400.0
0gctp5ht.top,0gctp5ht.top,22-jan-2021,1611273600.0
0gw7e6s3wrao9y3q.pro,0gw7e6s3wrao9y3q.pro,13-feb-2021,1613174400.0
0hnx138db.com,0hnx138db.com,22-apr-2021,1619049600.0
0icep80f.com,0icep80f.com,05-feb-2021,1612483200.0
0iecfobt.com,0iecfobt.com,05-feb-2021,1612483200.0
0iv8.ru,0iv8.ru,27-jun-2021,1624752000.0
0llii0g6.com,0llii0g6.com,05-feb-2021,1612483200.0
0pixl.com,0pixl.com,26-jan-2021,1611619200.0
0pn.ru,0pn.ru,23-apr-2021,1619136000.0
0qwc.ru,0qwc.ru,27-jun-2021,1624752000.0
0scotia.com,0scotia.com,30-apr-2021,1619740800.0
0wf.net,0wf.net,19-jun-2021,1624060800.0
0x1f4b0.com,0x1f4b0.com,03-feb-2021,1612310400.0
1-remont.com,1-remont.com,01-feb-2021,1612137600.0
100gelgeorgia.xyz,100gelgeorgia.xyz,17-apr-2021,1618617600.0
100pantyhose.com,100pantyhose.com,14-feb-2021,1613260800.0
100webads.com,100webads.com,03-sep-2022,1662163200.0
100webspace.net,100webspace.net,02-jun-2025,1748822400.0
100widgets.com,100widgets.com,04-feb-2021,1612396800.0
101m3.com,101m3.com,27-jan-2023,1674777600.0
105app.com,105app.com,15-mar-2021,1615766400.0
10836northridge.com,10836northridge.com,03-apr-2021,1617408000.0
10836northridgesquare.com,10836northridgesquare.com,04-apr-2021,1617494400.0
10cd.ru,10cd.ru,29-mar-2021,1616976000.0
10clicks.com,10clicks.com,07-apr-2021,1617753600.0
10pmlive.com,10pmlive.com,17-mar-2021,1615939200.0
10root25.website,10root25.website,10-apr-2021,1618012800.0
10y5gehv.com,10y5gehv.com,05-feb-2021,1612483200.0
1100i.com,1100i.com,06-aug-2021,1628208000.0
111qqq.vip,111qqq.vip,20-feb-2022,1645315200.0
112corona.com,112corona.com,26-mar-2021,1616716800.0
112coronavirus.com,112coronavirus.com,26-mar-2021,1616716800.0
112covid.com,112covid.com,26-mar-2021,1616716800.0
114lk.com,114lk.com,21-apr-2023,1682035200.0
114oldest.com,114oldest.com,23-jan-2021,1611360000.0
11bet.com,11bet.com,03-jun-2023,1685750400.0
11flexiblebig9.website,11flexiblebig9.website,12-feb-2021,1613088000.0
11hrcnll.com,11hrcnll.com,02-apr-2021,1617321600.0
11plus.hk,11plus.hk,01-apr-2023,1680307200.0
120fsbyy4.com,120fsbyy4.com,07-mar-2021,1615075200.0
121usa.com,121usa.com,31-mar-2021,1617148800.0
123123231.xyz,123123231.xyz,20-feb-2021,1613779200.0
123corona.com,123corona.com,02-mar-2021,1614643200.0
123coronavirus.com,123coronavirus.com,09-mar-2021,1615248000.0
123count.com,123count.com,09-dec-2021,1639008000.0
123counters.com,123counters.com,02-sep-2021,1630540800.0
123found.com,123found.com,26-jan-2021,1611619200.0
123fvd.com,123fvd.com,06-oct-2021,1633478400.0
123stat.com,123stat.com,19-aug-2024,1724025600.0
123vidz.com,123vidz.com,17-jan-2021,1610841600.0
12mnkys.com,12mnkys.com,17-nov-2022,1668643200.0
12place.com,12place.com,23-mar-2021,1616457600.0
1314huadian.com,1314huadian.com,21-apr-2021,1618963200.0
13vm73vbmp.com,13vm73vbmp.com,16-mar-2021,1615852800.0
140proof.com,140proof.com,13-jan-2022,1642032000.0
152asyabahis.com,152asyabahis.com,10-may-2021,1620604800.0
15688c.com,15688c.com,06-feb-2023,1675641600.0
1572599.com,1572599.com,16-may-2021,1621123200.0
158makrobet.com,158makrobet.com,06-may-2021,1620259200.0
159holiganbet.com,159holiganbet.com,11-may-2021,1620691200.0
15mincovid19test.com,15mincovid19test.com,22-mar-2022,1647907200.0
15mintestcoronavirus.com,15mintestcoronavirus.com,22-mar-2021,1616371200.0
160holiganbet.com,160holiganbet.com,13-may-2021,1620864000.0
16nisatadiatlariniz.com,16nisatadiatlariniz.com,16-apr-2021,1618531200.0
172princessbet.com,172princessbet.com,24-apr-2021,1619222400.0
176blcq.com,176blcq.com,25-mar-2021,1616630400.0
1788111.com,1788111.com,29-mar-2021,1616976000.0
1800corona.com,1800corona.com,13-mar-2021,1615593600.0
1800covid19.com,1800covid19.com,06-mar-2021,1614988800.0
180searchassistant.com,180searchassistant.com,11-mar-2021,1615420800.0
182elexusbet.com,182elexusbet.com,15-apr-2021,1618444800.0
184betper.com,184betper.com,07-may-2021,1620345600.0
185betper.com,185betper.com,12-may-2021,1620777600.0
186bahsegel.com,186bahsegel.com,10-may-2021,1620604800.0
187bahsegel.com,187bahsegel.com,14-may-2021,1620950400.0
188server.com,188server.com,06-feb-2021,1612569600.0
18clicks.com,18clicks.com,07-apr-2021,1617753600.0
18cum.com,18cum.com,05-mar-2021,1614902400.0
191gm.com,191gm.com,22-dec-2021,1640131200.0
1990tu.com,1990tu.com,13-nov-2021,1636761600.0
19corona.com,19corona.com,10-mar-2022,1646870400.0
19covid-gouv12.com,19covid-gouv12.com,21-mar-2021,1616284800.0
19covidcrafunds.com,19covidcrafunds.com,09-may-2021,1620518400.0
19covidmask.com,19covidmask.com,03-mar-2021,1614729600.0
19vidcra.com,19vidcra.com,09-may-2021,1620518400.0
1accesd8.com,1accesd8.com,10-mar-2021,1615334400.0
1bcpzonasegurabetaviabcp.com,1bcpzonasegurabetaviabcp.com,27-apr-2021,1619481600.0
1bfc228b50a902db.com,1bfc228b50a902db.com,02-oct-2021,1633132800.0
1bg.net,1bg.net,21-mar-2021,1616284800.0
1bill-w1reless.com,1bill-w1reless.com,01-may-2021,1619827200.0
1cerb-canada.info,1cerb-canada.info,22-apr-2021,1619049600.0
1cibc.com,1cibc.com,03-apr-2021,1617408000.0
1coronavirus.com,1coronavirus.com,06-mar-2021,1614988800.0
1cov-19aid.com,1cov-19aid.com,15-may-2021,1621036800.0
1covid.com,1covid.com,26-mar-2021,1616716800.0
1covid9-cerb.com,1covid9-cerb.com,23-apr-2021,1619136000.0
1cr-cerbrelief.org,1cr-cerbrelief.org,28-may-2021,1622160000.0
1ea1sley.com,1ea1sley.com,02-apr-2021,1617321600.0
1el-1el-fie.com,1el-1el-fie.com,03-apr-2021,1617408000.0
1elllwrite.com,1elllwrite.com,03-apr-2021,1617408000.0
1i5gg4kl.mobi,1i5gg4kl.mobi,24-jan-2021,1611446400.0
1imited-apps-paypa1.com,1imited-apps-paypa1.com,10-mar-2021,1615334400.0
1imited-support-paypa1.com,1imited-support-paypa1.com,10-mar-2021,1615334400.0
1lo0.net,1lo0.net,17-jan-2021,1610841600.0
1lzz.com,1lzz.com,17-jan-2021,1610841600.0
1meterchocolate.com,1meterchocolate.com,16-feb-2021,1613433600.0
1mp.mobi,1mp.mobi,15-apr-2021,1618444800.0
1netflxaccntsupports.com,1netflxaccntsupports.com,14-apr-2021,1618358400.0
1nimo.com,1nimo.com,06-apr-2021,1617667200.0
1nstagram.co,1nstagram.co,12-feb-2021,1613088000.0
1nstagram.com,1nstagram.com,21-apr-2021,1618963200.0
1nstagram.network,1nstagram.network,17-apr-2021,1618617600.0
1nstagram.tech,1nstagram.tech,03-jun-2021,1622678400.0
1ntl-paypa1.info,1ntl-paypa1.info,25-may-2021,1621900800.0
1ogin-paypa1.com,1ogin-paypa1.com,09-mar-2021,1615248000.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
1podcast.best,1podcast.best,15-mar-2021,1615766400.0
1podcast.xyz,1podcast.xyz,15-mar-2021,1615766400.0
1q2w3.website,1q2w3.website,21-feb-2021,1613865600.0
1s8pj.cn,1s8pj.cn,14-apr-2021,1618358400.0
1sexxx.com,1sexxx.com,27-feb-2021,1614384000.0
1soft.com,1soft.com,27-may-2021,1622073600.0
1st-affiliation.fr,1st-affiliation.fr,24-apr-2021,1619222400.0
1st2curecoronavirus.com,1st2curecoronavirus.com,09-mar-2021,1615248000.0
1stcoronatest.com,1stcoronatest.com,12-mar-2021,1615507200.0
1tdscpamedia.xyz,1tdscpamedia.xyz,23-jan-2021,1611360000.0
1traf.com,1traf.com,05-feb-2021,1612483200.0
1txt.ru,1txt.ru,13-apr-2021,1618272000.0
1us.cc,1us.cc,10-apr-2021,1618012800.0
1warie.com,1warie.com,23-feb-2021,1614038400.0
1xbetvn.com,1xbetvn.com,10-feb-2021,1612915200.0
1yk851od.com,1yk851od.com,14-mar-2021,1615680000.0
2000greetings.com,2000greetings.com,24-oct-2021,1635033600.0
2000peoplemourningforcoronadeath.exposed,2000peoplemourningforcoronadeath.exposed,13-mar-2021,1615593600.0
2001o.cc,2001o.cc,07-jun-2021,1623024000.0
2001positions.com,2001positions.com,03-mar-2021,1614729600.0
2001u.cc,2001u.cc,07-jun-2021,1623024000.0
2019-covidtest.com,2019-covidtest.com,01-mar-2021,1614556800.0
2019coronavirusinfo.com,2019coronavirusinfo.com,02-mar-2021,1614643200.0
201d5.cn,201d5.cn,26-mar-2021,1616716800.0
2020-covid-19.com,2020-covid-19.com,12-mar-2021,1615507200.0
2020-giveaway.com,2020-giveaway.com,17-jan-2021,1610841600.0
2020-pandemic.com,2020-pandemic.com,12-mar-2021,1615507200.0
2020censuspandemic.com,2020censuspandemic.com,12-mar-2021,1615507200.0
