idna_subject,checker_type,destination,source,tested_at,session_id
helpformlnstagram.cf,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:00.279271,39de5acf49c9452ff4343e83
helping-lnstagram.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:01.140379,39de5acf49c9452ff4343e83
helping-lnstagrammedia.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:01.397274,39de5acf49c9452ff4343e83
helpingformlnstagram.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:01.650085,39de5acf49c9452ff4343e83
helpl-lnstagram.cf,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:02.418534,39de5acf49c9452ff4343e83
helplnstagramclient.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:08.382091,39de5acf49c9452ff4343e83
helplnstagramform.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:10.983457,39de5acf49c9452ff4343e83
helplnstagrams.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:12.290642,39de5acf49c9452ff4343e83
helplnstagramverified.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:14.260407,39de5acf49c9452ff4343e83
helpmedialnstagram.tk,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:15.864594,39de5acf49c9452ff4343e83
helps-0-lnstagram.ga,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:16.319208,39de5acf49c9452ff4343e83
helps-copyrights-lnstagram.com,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:17.202030,39de5acf49c9452ff4343e83
helps-lnstagram-0.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:17.586820,39de5acf49c9452ff4343e83
helps-lnstagram-copyright.com,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:18.350769,39de5acf49c9452ff4343e83
helps-lnstagramviolations.cf,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:22.003723,39de5acf49c9452ff4343e83
helpsfromlnstagram.cf,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:25.167799,39de5acf49c9452ff4343e83
https-lnstagram.com,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:33.476163,39de5acf49c9452ff4343e83
https-lnstagram.tk,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:33.737999,39de5acf49c9452ff4343e83
idmsa-app1e.com,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:36.986985,39de5acf49c9452ff4343e83
info-lnstagramcopyrightsupport.com,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:41.643960,39de5acf49c9452ff4343e83
info-lnstagramoffice.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:42.404581,39de5acf49c9452ff4343e83
infocenter-helplnstagram.tk,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:43.517007,39de5acf49c9452ff4343e83
livelnstagramsupport.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:13:56.781369,39de5acf49c9452ff4343e83
lnstagram-aboutcopyright.ml,AVAILABILITY,origin.list,origin.list,2001-04-22 16:14:04.061318,39de5acf49c9452ff4343e83
